City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
0,Turbat,PK,74.44,light rain,26.0023,63.044,Mubashar Quarters
2,Dakar,SN,76.08,overcast clouds,14.6937,-17.4441,Novotel Dakar
3,Arinos,BR,70.84,light rain,-15.9169,-46.1056,casa do bruno
6,Ndende,GA,72.0,overcast clouds,-2.4008,11.3581,
7,Vila Velha,BR,69.94,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
9,Hithadhoo,MV,81.43,scattered clouds,-0.6,73.0833,Scoop Guest House
10,Arraial Do Cabo,BR,69.03,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
13,Kavaratti,IN,80.87,clear sky,10.5669,72.642,Green leaf
16,Ribeira Grande,PT,65.77,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
25,Alta Floresta,BR,75.96,scattered clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
26,East London,ZA,66.67,overcast clouds,-33.0153,27.9116,Tu Casa
27,Dabhoi,IN,69.73,clear sky,22.1833,73.4333,Sindhiyapura
28,Aswan,EG,65.5,clear sky,24.0934,32.907,Nuba Nile
30,Atar,MR,77.7,overcast clouds,20.5169,-13.0499,Oumou Elghoura
34,Ormara,PK,77.41,clear sky,25.2088,64.6357,Kenara Colony House for Rent
36,Matara,LK,77.92,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
37,Harper,LR,76.68,light rain,4.375,-7.7169,Screensaver
42,Ponta Do Sol,PT,68.72,scattered clouds,32.6667,-17.1,Hotel do Campo
43,Kikwit,CD,66.49,overcast clouds,-5.041,18.8162,HOTEL PLACE YALABA
45,Saint-Philippe,RE,69.39,scattered clouds,-21.3585,55.7679,Le four à pain
47,Gamba,GA,73.74,overcast clouds,-2.65,10.0,
48,Namibe,AO,67.95,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
54,Nouadhibou,MR,69.78,clear sky,20.931,-17.0347,El Medina
58,Tessalit,ML,71.2,clear sky,20.1986,1.0114,
62,Sao Filipe,CV,77.88,clear sky,14.8961,-24.4956,Hotel Xaguate
63,Bambous Virieux,MU,71.85,scattered clouds,-20.3428,57.7575,Casa Tia Villa
65,Pitimbu,BR,79.39,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
66,Itarema,BR,78.04,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
71,Wilmington,US,69.91,clear sky,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
72,Viedma,AR,66.47,clear sky,-40.8135,-62.9967,Hotel Cristal
73,Busselton,AU,68.67,broken clouds,-33.65,115.3333,Observatory Guest House
