City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Turbat,PK,26.0023,63.044,74.44,74,43,3.0,light rain
1,Stepnyak,KZ,52.8339,70.7803,27.07,90,100,8.7,overcast clouds
2,Dakar,SN,14.6937,-17.4441,76.08,64,93,6.78,overcast clouds
3,Arinos,BR,-15.9169,-46.1056,70.84,67,34,1.66,light rain
4,Paamiut,GL,61.994,-49.6678,16.45,81,21,7.9,few clouds
5,Punta Arenas,CL,-53.15,-70.9167,57.31,58,0,8.05,clear sky
6,Ndende,GA,-2.4008,11.3581,72.0,98,100,2.77,overcast clouds
7,Vila Velha,BR,-20.3297,-40.2925,69.94,88,75,4.61,broken clouds
8,Ushuaia,AR,-54.8,-68.3,47.86,87,0,3.44,clear sky
9,Hithadhoo,MV,-0.6,73.0833,81.43,76,46,12.59,scattered clouds
10,Arraial Do Cabo,BR,-22.9661,-42.0278,69.03,68,25,5.21,scattered clouds
11,Bredasdorp,ZA,-34.5322,20.0403,63.95,85,100,3.0,overcast clouds
12,Cidreira,BR,-30.1811,-50.2056,62.74,80,8,13.44,clear sky
13,Kavaratti,IN,10.5669,72.642,80.87,75,4,3.69,clear sky
14,Tasiilaq,GL,65.6145,-37.6368,22.5,75,100,4.83,overcast clouds
15,Hermanus,ZA,-34.4187,19.2345,63.81,81,100,10.8,overcast clouds
16,Ribeira Grande,PT,38.5167,-28.7,65.77,79,100,15.01,overcast clouds
17,Oldebroek,NL,52.445,5.9014,53.02,89,100,5.99,overcast clouds
18,Kautokeino,NO,69.0125,23.0412,23.16,89,44,5.37,scattered clouds
19,Jamestown,US,42.097,-79.2353,57.72,79,75,6.91,broken clouds
20,Camacha,PT,33.0833,-16.3333,63.82,82,40,3.44,scattered clouds
21,Lokosovo,RU,61.1333,74.8167,17.91,96,87,4.7,overcast clouds
22,Asyut,EG,27.181,31.1837,59.18,39,0,4.92,clear sky
23,Nizhnevartovsk,RU,60.9344,76.5531,26.62,100,100,4.47,overcast clouds
24,Hofn,IS,64.2539,-15.2082,40.95,89,100,14.18,overcast clouds
25,Alta Floresta,BR,-9.8756,-56.0861,75.96,64,36,1.7,scattered clouds
26,East London,ZA,-33.0153,27.9116,66.67,80,100,18.23,overcast clouds
27,Dabhoi,IN,22.1833,73.4333,69.73,47,8,3.87,clear sky
28,Aswan,EG,24.0934,32.907,65.5,36,0,4.61,clear sky
29,Cape Town,ZA,-33.9258,18.4232,63.12,87,75,11.5,broken clouds
30,Atar,MR,20.5169,-13.0499,77.7,15,99,5.55,overcast clouds
31,Chapais,CA,49.7834,-74.8492,44.38,75,100,9.44,overcast clouds
32,Ostrovnoy,RU,68.0531,39.5131,32.86,95,100,17.22,light snow
33,Lucapa,AO,-8.4192,20.7447,64.98,97,100,1.43,overcast clouds
34,Ormara,PK,25.2088,64.6357,77.41,75,1,5.19,clear sky
35,Alexandria,EG,31.2156,29.9553,57.74,43,0,10.27,clear sky
36,Matara,LK,5.9485,80.5353,77.92,84,60,1.92,broken clouds
37,Harper,LR,4.375,-7.7169,76.68,88,24,4.47,light rain
38,Kamenka,RU,51.3223,42.7678,30.36,82,81,4.85,broken clouds
39,Castro,BR,-24.7911,-50.0119,47.82,98,3,5.19,clear sky
40,Itaqui,BR,-29.1253,-56.5531,64.74,56,1,14.74,clear sky
41,Kyshtovka,RU,56.555,76.6271,26.67,96,100,7.29,overcast clouds
42,Ponta Do Sol,PT,32.6667,-17.1,68.72,87,28,1.45,scattered clouds
43,Kikwit,CD,-5.041,18.8162,66.49,98,100,1.86,overcast clouds
44,Saint-Jean-De-Maurienne,FR,45.1667,6.5833,27.14,67,7,2.35,clear sky
45,Saint-Philippe,RE,-21.3585,55.7679,69.39,82,47,9.57,scattered clouds
46,Dikson,RU,73.5069,80.5464,7.43,92,100,8.14,overcast clouds
47,Gamba,GA,-2.65,10.0,73.74,92,100,3.27,overcast clouds
48,Namibe,AO,-15.1961,12.1522,67.95,65,0,5.08,clear sky
49,Nikolskoye,RU,59.7035,30.7861,40.91,94,95,8.7,overcast clouds
50,Nanortalik,GL,60.1432,-45.2371,31.35,89,87,2.82,overcast clouds
51,Sorland,NO,67.667,12.6934,42.66,63,2,21.34,clear sky
52,Capiibary,PY,-24.8,-56.0333,61.79,79,48,3.36,scattered clouds
53,Oksbol,DK,55.6268,8.2876,51.91,94,100,29.15,moderate rain
54,Nouadhibou,MR,20.931,-17.0347,69.78,68,0,9.22,clear sky
55,Coquimbo,CL,-29.9533,-71.3436,58.73,82,40,3.44,scattered clouds
56,Iisaku,EE,59.1014,27.3081,42.01,90,100,13.0,overcast clouds
57,Perelyub,RU,51.8667,50.3667,30.43,82,13,6.31,few clouds
58,Tessalit,ML,20.1986,1.0114,71.2,16,0,5.75,clear sky
59,Mingaora,PK,34.7758,72.3625,53.17,87,99,6.11,overcast clouds
60,Synya,RU,65.3718,58.0387,31.64,97,100,7.54,overcast clouds
61,Qaanaaq,GL,77.484,-69.3632,-1.71,92,100,7.78,overcast clouds
62,Sao Filipe,CV,14.8961,-24.4956,77.88,68,0,4.41,clear sky
63,Bambous Virieux,MU,-20.3428,57.7575,71.85,83,40,3.44,scattered clouds
64,Brae,GB,60.3964,-1.353,49.59,83,97,15.12,overcast clouds
65,Pitimbu,BR,-7.4706,-34.8086,79.39,80,59,10.49,broken clouds
66,Itarema,BR,-2.9248,-39.9167,78.04,81,80,9.08,broken clouds
67,Grindavik,IS,63.8424,-22.4338,39.67,87,0,4.61,clear sky
68,Klaksvik,FO,62.2266,-6.589,49.12,90,100,30.2,light rain
69,Margate,GB,51.3813,1.3862,54.3,87,74,5.99,broken clouds
70,Torbay,CA,47.6666,-52.7314,55.27,97,100,13.8,mist
71,Wilmington,US,34.2257,-77.9447,69.91,85,0,1.99,clear sky
72,Viedma,AR,-40.8135,-62.9967,66.47,50,6,13.71,clear sky
73,Busselton,AU,-33.65,115.3333,68.67,58,69,10.71,broken clouds
74,Belomorsk,RU,64.5232,34.7668,39.25,93,100,11.03,overcast clouds
75,Zhezkazgan,KZ,47.8043,67.7144,24.78,93,20,6.71,few clouds
76,Banfora,BF,10.6333,-4.7667,74.68,61,7,0.96,clear sky
77,Kolondieba,ML,11.0882,-6.8926,78.93,60,84,3.22,broken clouds
78,Quatre Cocos,MU,-20.2078,57.7625,71.71,79,24,8.77,few clouds
79,Santa Ana,US,33.7456,-117.8678,66.42,78,0,8.05,clear sky
80,Warrington,GB,53.3925,-2.5802,50.11,91,75,8.05,broken clouds
81,Reading,GB,51.4562,-0.9711,54.45,78,20,10.36,few clouds
82,Victoria,HK,22.2855,114.1577,70.32,90,83,5.01,broken clouds
83,Tromso,NO,69.6496,18.957,35.62,87,100,10.36,light rain
84,San Cristobal,VE,7.7669,-72.225,75.38,99,100,2.26,overcast clouds
85,Narsaq,GL,60.9167,-46.05,28.94,97,98,2.06,overcast clouds
86,Gayeri,BF,12.6497,0.4931,73.94,15,0,7.87,clear sky
87,Saravena,CO,6.9538,-71.8752,71.42,98,100,2.55,overcast clouds
88,Espanola,US,35.9911,-106.0806,56.14,39,2,5.88,clear sky
89,Souillac,MU,-20.5167,57.5167,71.98,83,40,3.44,scattered clouds
90,Uyuni,BO,-20.4597,-66.825,45.93,48,1,21.7,clear sky
91,Bharatpur,IN,27.2167,77.4833,73.38,57,100,2.77,overcast clouds
92,Dalvik,IS,65.9702,-18.5286,37.33,89,59,1.59,broken clouds
93,Port Elizabeth,ZA,-33.918,25.5701,66.09,91,0,17.27,clear sky
94,Henties Bay,NA,-22.116,14.2845,63.52,78,100,7.49,overcast clouds
95,Sept-Iles,CA,50.2001,-66.3821,45.12,98,100,2.3,fog
96,Krasnoselkup,RU,65.7,82.4667,16.56,96,100,6.55,overcast clouds
97,Cabedelo,BR,-6.9811,-34.8339,79.47,78,25,10.18,scattered clouds
98,Bosaso,SO,11.2842,49.1816,77.16,79,0,0.72,clear sky
99,Boo,SE,59.3333,18.2833,48.76,92,40,6.91,scattered clouds
100,Mumford,GH,5.2618,-0.759,78.15,84,31,6.02,scattered clouds
101,Iqaluit,CA,63.7506,-68.5145,11.93,67,20,16.11,few clouds
102,Saint George,US,37.1041,-113.5841,63.19,38,0,4.0,clear sky
103,Savannah Bight,HN,16.45,-85.85,81.39,72,92,10.04,light rain
104,Thinadhoo,MV,0.5333,72.9333,81.81,76,34,13.29,scattered clouds
105,Longyearbyen,SJ,78.2186,15.6401,22.66,91,100,4.54,overcast clouds
106,Lebu,CL,-37.6167,-73.65,51.17,89,34,10.94,scattered clouds
107,Hamilton,US,39.1834,-84.5333,62.1,57,0,5.75,clear sky
108,Mar Del Plata,AR,-38.0023,-57.5575,63.09,88,0,20.0,clear sky
109,Akhmeta,GE,42.0311,45.2075,43.32,91,99,1.95,overcast clouds
110,Guane,CU,22.2025,-84.0875,74.07,87,20,6.13,few clouds
111,Husavik,IS,66.0449,-17.3389,38.64,97,100,6.2,overcast clouds
112,Copiapo,CL,-27.3667,-70.3333,53.29,70,75,2.66,broken clouds
113,Sioux Lookout,CA,50.1001,-91.917,32.07,80,100,13.8,snow
114,Esfarayen,IR,37.0765,57.5101,37.06,70,100,6.29,overcast clouds
115,Adana,TR,36.985,35.2881,64.92,59,75,8.05,broken clouds
116,San Rafael,AR,-34.6177,-68.3301,76.3,24,91,10.78,overcast clouds
117,Voznesenye,RU,61.0106,35.4781,37.15,94,99,11.86,overcast clouds
118,Georgetown,MY,5.4112,100.3354,83.23,81,40,9.22,scattered clouds
119,Azul,AR,-36.777,-59.8585,64.35,74,49,13.96,scattered clouds
120,Saint-Augustin,CA,51.226,-58.6502,44.92,99,100,4.5,overcast clouds
121,Clyde River,CA,70.4692,-68.5914,-0.17,60,0,6.91,clear sky
122,Verkhnechusovskiye Gorodki,RU,58.1671,57.1086,27.32,95,93,5.28,overcast clouds
123,Mahebourg,MU,-20.4081,57.7,71.89,83,40,3.44,scattered clouds
124,Laguna,US,38.421,-121.4238,59.4,56,75,10.36,broken clouds
125,Maxixe,MZ,-23.8597,35.3472,73.45,92,24,4.18,few clouds
126,Chuy,UY,-33.6971,-53.4616,58.21,87,0,9.33,clear sky
127,Vagay,RU,57.9375,69.0217,25.41,88,100,4.07,overcast clouds
128,Mindelo,CV,16.8901,-24.9804,76.55,73,20,13.8,few clouds
129,Talcahuano,CL,-36.7167,-73.1167,55.08,82,0,12.66,clear sky
130,Touros,BR,-5.1989,-35.4608,78.3,73,47,13.35,scattered clouds
131,Naryan-Mar,RU,67.6713,53.087,26.42,92,100,11.95,overcast clouds
132,Saldanha,ZA,-33.0117,17.9442,61.77,93,100,8.16,overcast clouds
133,General Roca,AR,-39.0333,-67.5833,81.63,33,81,19.1,broken clouds
134,Vardo,NO,70.3705,31.1107,31.98,80,20,10.36,few clouds
135,Birao,CF,10.2849,22.7882,73.08,35,3,5.28,clear sky
136,Takoradi,GH,4.8845,-1.7554,77.23,87,38,4.94,scattered clouds
137,Rio Gallegos,AR,-51.6226,-69.2181,59.05,51,0,6.91,clear sky
138,Kumluca,TR,36.3703,30.2869,63.46,60,100,4.09,overcast clouds
139,Bengkulu,ID,-3.8004,102.2655,79.86,75,100,3.51,overcast clouds
140,Andenes,NO,69.3143,16.1194,39.18,75,100,13.8,overcast clouds
141,Saint-Pierre,RE,-21.3393,55.4781,69.48,68,0,6.91,clear sky
142,Elias Fausto,BR,-23.0428,-47.3739,63.64,78,41,10.63,scattered clouds
143,Port-Gentil,GA,-0.7193,8.7815,76.6,85,100,6.51,overcast clouds
144,Batticaloa,LK,7.7102,81.6924,78.46,79,86,4.61,overcast clouds
145,Aktau,KZ,43.65,51.2,34.38,82,16,10.65,few clouds
146,Berlevag,NO,70.8578,29.0864,35.6,80,20,13.8,few clouds
147,Adrar,MR,20.5022,-10.0711,74.7,15,100,6.98,overcast clouds
148,Svetlyy,RU,54.675,20.1347,39.25,78,98,13.47,overcast clouds
149,Kutum,SD,14.2,24.6667,65.59,29,1,6.26,clear sky
150,Araguaina,BR,-7.1911,-48.2072,74.41,91,100,4.27,overcast clouds
151,Den Helder,NL,52.9599,4.7593,57.18,77,75,24.0,broken clouds
152,Omboue,GA,-1.5746,9.2618,74.14,93,100,3.02,overcast clouds
153,Marsaxlokk,MT,35.8419,14.5431,67.08,82,20,8.05,few clouds
154,Hvolsvollur,IS,63.7533,-20.2243,35.11,68,17,7.43,few clouds
155,Mwinilunga,ZM,-11.7358,24.4293,60.71,97,98,2.68,overcast clouds
156,Ikalamavony,MG,-21.15,46.5833,67.35,84,100,2.86,overcast clouds
157,Port Alfred,ZA,-33.5906,26.891,66.18,84,100,7.0,overcast clouds
158,Cururupu,BR,-1.8283,-44.8683,74.28,94,53,3.15,broken clouds
159,Tahta,EG,26.7693,31.5021,63.84,39,0,6.02,clear sky
160,Sao Joao Da Barra,BR,-21.6403,-41.0511,67.24,75,3,5.97,clear sky
161,Cetateni,RO,45.2,25.1833,41.95,91,75,2.04,broken clouds
162,Duku,NG,11.2361,4.9073,72.52,23,87,5.68,overcast clouds
163,Zambezi,ZM,-13.5432,23.1047,62.69,90,47,3.74,scattered clouds
164,Miranda,CO,3.2499,-76.2281,71.73,90,67,2.37,broken clouds
165,Honningsvag,NO,70.9821,25.9704,37.15,87,100,18.41,overcast clouds
166,Morondava,MG,-20.2833,44.2833,79.45,72,100,1.88,overcast clouds
167,Tandalti,SD,13.0167,31.8667,78.6,21,0,11.86,clear sky
168,Tiznit,MA,29.5833,-9.5,66.43,39,0,2.17,clear sky
169,Ouallam,NE,14.3188,2.0866,74.14,14,0,10.54,clear sky
170,Karoi,ZW,-16.8099,29.6925,67.53,77,82,4.36,broken clouds
171,Colares,PT,38.7992,-9.4469,63.34,94,46,14.0,scattered clouds
172,Molochnoye,RU,59.2917,39.6787,32.18,98,100,9.06,overcast clouds
173,Olafsvik,IS,64.8945,-23.7142,41.29,70,0,12.97,clear sky
174,Novaya Chigla,RU,51.2233,40.4781,31.51,79,100,5.35,overcast clouds
175,Nushki,PK,29.5542,66.0215,58.98,59,5,1.36,clear sky
176,La Tuque,CA,47.4334,-72.7824,62.85,39,100,5.75,overcast clouds
177,Bereznik,RU,62.8551,42.7072,31.68,98,100,6.38,light snow
178,Buchanan,LR,5.8808,-10.0467,75.88,89,13,3.38,few clouds
179,Talnakh,RU,69.4865,88.3972,22.1,97,100,6.58,light snow
180,Kampene,CD,-3.6,26.6667,66.67,99,99,0.4,overcast clouds
181,Saint-Joseph,RE,-21.3667,55.6167,68.38,80,39,8.57,scattered clouds
182,Nioro,GM,13.35,-15.75,73.92,60,2,4.9,clear sky
183,Necochea,AR,-38.5473,-58.7368,60.46,65,99,17.56,overcast clouds
184,Cayenne,GF,4.9333,-52.3333,77.04,94,100,6.91,heavy intensity rain
185,Ardesen,TR,41.1911,40.9875,58.51,58,81,3.47,broken clouds
186,Rio Tercero,AR,-32.173,-64.1141,69.8,31,90,5.44,overcast clouds
187,Novopokrovka,UA,49.8425,36.5477,34.16,81,100,5.68,overcast clouds
188,Kotido,UG,2.9806,34.1331,71.51,59,100,7.85,overcast clouds
189,Imeni Babushkina,RU,59.7573,43.1285,30.27,96,100,8.1,light snow
190,San Luis,AR,-33.295,-66.3356,71.38,28,100,9.71,overcast clouds
191,Lagoa,PT,39.05,-27.9833,64.62,78,100,28.45,overcast clouds
192,Thanjavur,IN,10.8,79.15,75.76,83,85,8.86,overcast clouds
193,Brigantine,US,39.4101,-74.3646,67.03,92,1,1.01,clear sky
194,Amos,CA,48.5669,-78.1162,51.19,66,100,13.62,overcast clouds
195,Nouakchott,MR,18.0858,-15.9785,75.81,59,36,9.91,scattered clouds
196,Eyl,SO,7.9803,49.8164,76.71,81,9,6.35,clear sky
197,Pachino,IT,36.7186,15.0907,62.67,69,0,3.74,clear sky
198,Beoumi,CI,7.6736,-5.5764,71.64,96,38,3.13,light rain
199,Oleksandrivka,UA,48.9634,32.2349,39.04,75,100,6.64,overcast clouds
200,Yanam,IN,16.7333,82.2167,74.71,78,75,4.97,broken clouds
201,Hobyo,SO,5.3505,48.5268,78.82,78,22,5.3,few clouds
202,Pimentel,PE,-6.8367,-79.9342,62.46,86,4,11.48,clear sky
203,Otuzco,PE,-7.9,-78.5833,50.59,76,61,1.39,broken clouds
204,Inhambane,MZ,-23.865,35.3833,74.21,90,20,4.63,few clouds
205,Banda Aceh,ID,5.5577,95.3222,81.39,71,51,2.73,light rain
206,Mitsamiouli,KM,-11.3847,43.2844,77.0,83,10,13.69,clear sky
207,Taoudenni,ML,22.6783,-3.9836,74.95,15,52,9.48,broken clouds
208,Bloomington,US,44.8408,-93.2983,43.48,44,0,20.0,clear sky
209,Lovozero,RU,68.005,35.0117,24.17,93,86,3.56,overcast clouds
210,Capoeiras,BR,-8.7347,-36.6267,66.11,93,100,10.0,overcast clouds
211,Emba,KZ,48.8264,58.1442,23.2,90,17,8.86,few clouds
212,Punta Alta,AR,-38.8759,-62.0736,66.92,44,85,11.81,overcast clouds
213,Promyshlennovskiy,RU,55.4833,86.2,29.17,88,100,9.4,light snow
214,Tabou,CI,4.423,-7.3528,76.91,88,71,3.96,light rain
215,Araouane,ML,18.9048,-3.5265,74.57,18,0,9.31,clear sky
216,Jodhpur,IN,26.2867,73.03,74.17,34,94,4.43,overcast clouds
217,Ilulissat,GL,69.2167,-51.1,-2.83,94,39,6.96,scattered clouds
218,Korla,CN,41.7597,86.1469,48.81,39,68,3.51,broken clouds
219,Debno,PL,52.739,14.698,44.15,74,100,10.38,overcast clouds
220,Penzance,GB,50.1186,-5.5371,56.08,86,100,26.62,overcast clouds
221,Kaoma,ZM,-14.7833,24.8,64.96,96,99,4.52,light rain
222,Samdari,IN,25.8167,72.5833,76.24,35,91,2.75,overcast clouds
223,Vestmannaeyjar,IS,63.4427,-20.2734,42.49,65,35,8.66,scattered clouds
224,Port Blair,IN,11.6667,92.75,82.44,78,75,5.75,mist
225,San Juan,AR,-31.5375,-68.5364,81.37,23,100,21.74,overcast clouds
226,Ornskoldsvik,SE,63.2909,18.7153,34.75,100,100,4.61,overcast clouds
227,Pangnirtung,CA,66.1451,-65.7125,4.05,66,0,6.22,clear sky
228,Guerande,FR,47.3291,-2.4283,58.15,81,100,25.43,overcast clouds
