City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Cayenne,GF,2022-10-29 20:59:43,4.9333,-52.3333,26.02,89,100,0.0
1,Ushuaia,AR,2022-10-29 21:01:25,-54.8,-68.3,3.81,87,100,9.26
2,Chulym,RU,2022-10-29 21:04:08,55.0997,80.9572,-2.07,81,100,2.07
3,Umm Lajj,SA,2022-10-29 21:04:09,25.0213,37.2685,26.55,56,16,2.02
4,Cidreira,BR,2022-10-29 21:04:09,-30.1811,-50.2056,20.17,89,100,3.59
5,Victoria,HK,2022-10-29 21:04:10,22.2855,114.1577,24.1,66,100,2.68
6,Pangoa,PE,2022-10-29 21:04:11,-12.1167,-73.0,25.04,91,56,1.71
7,Amarante Do Maranhao,BR,2022-10-29 21:04:11,-5.5667,-46.7422,31.71,38,100,1.99
8,Veraval,IN,2022-10-29 21:01:39,20.9,70.3667,25.78,54,0,2.98
9,Port Elizabeth,ZA,2022-10-29 21:01:39,-33.918,25.5701,20.17,66,40,10.8
10,Busselton,AU,2022-10-29 21:04:13,-33.65,115.3333,9.35,64,35,6.96
11,Ponta Do Sol,PT,2022-10-29 21:04:13,32.6667,-17.1,22.35,90,99,0.71
12,Hashtrud,IR,2022-10-29 21:04:14,37.4779,47.0508,7.81,82,13,2.12
13,Comodoro Rivadavia,AR,2022-10-29 21:04:15,-45.8667,-67.5,12.92,26,75,6.69
14,Beinamar,TD,2022-10-29 21:04:16,8.6698,15.3813,24.17,51,66,1.49
15,Quelimane,MZ,2022-10-29 21:04:16,-17.8786,36.8883,23.86,89,4,1.46
16,Kruisfontein,ZA,2022-10-29 21:04:17,-34.0033,24.7314,17.71,66,55,4.82
17,Adrar,MR,2022-10-29 21:04:18,20.5022,-10.0711,25.47,10,8,4.55
18,Los Llanos De Aridane,ES,2022-10-29 21:04:19,28.6585,-17.9182,22.29,75,100,2.57
19,Ankara,TR,2022-10-29 21:01:19,39.9199,32.8543,9.56,58,0,1.45
20,Vestmannaeyjar,IS,2022-10-29 21:04:21,63.4427,-20.2734,6.83,77,97,6.88
21,Hermanus,ZA,2022-10-29 21:04:21,-34.4187,19.2345,17.67,74,100,3.37
22,Arraial Do Cabo,BR,2022-10-29 21:04:19,-22.9661,-42.0278,26.92,74,20,6.17
23,Aswan,EG,2022-10-29 21:04:22,24.0934,32.907,23.79,35,0,5.33
24,Jamestown,US,2022-10-29 21:05:20,42.097,-79.2353,17.8,31,0,2.57
25,Chuy,UY,2022-10-29 21:05:22,-33.6971,-53.4616,23.83,62,2,2.41
26,Aripuana,BR,2022-10-29 21:04:06,-9.1667,-60.6333,25.0,94,82,1.63
27,El Chichicaste,HN,2022-10-29 21:05:24,14.0667,-86.3,30.68,49,100,2.44
28,Lyngdal,NO,2022-10-29 21:05:25,58.1376,7.07,11.05,90,31,2.03
29,Mahebourg,MU,2022-10-29 21:05:25,-20.4081,57.7,21.81,80,16,3.91
30,Conde,BR,2022-10-29 21:05:27,-7.2597,-34.9075,25.7,78,40,5.14
31,Carnarvon,AU,2022-10-29 21:05:28,-24.8667,113.6333,18.24,68,81,10.55
32,Vardo,NO,2022-10-29 21:03:11,70.3705,31.1107,2.99,87,100,15.43
33,Luderitz,NA,2022-10-29 21:05:29,-26.6481,15.1594,14.84,89,45,2.0
34,Duluth,US,2022-10-29 21:03:53,46.7833,-92.1066,20.3,45,0,7.2
35,Nanortalik,GL,2022-10-29 21:05:30,60.1432,-45.2371,-1.24,84,35,5.0
36,Bosobolo,CD,2022-10-29 21:05:31,4.1833,19.9,21.42,96,91,0.67
37,Shatsk,RU,2022-10-29 21:04:53,54.0258,41.7119,7.02,94,100,6.97
38,Yar-Sale,RU,2022-10-29 21:05:32,66.8333,70.8333,-6.54,93,100,6.44
39,Santa Luzia,BR,2022-10-29 21:04:57,-19.7697,-43.8514,28.5,57,63,3.51
40,Longyearbyen,SJ,2022-10-29 21:05:33,78.2186,15.6401,-5.09,68,40,3.6
41,Geraldton,AU,2022-10-29 21:05:33,-28.7667,114.6,14.23,82,75,11.32
42,Tingo Maria,PE,2022-10-29 21:05:34,-9.2895,-76.0088,26.73,83,98,1.08
43,Saint-Joseph,RE,2022-10-29 21:05:34,-21.3667,55.6167,20.21,80,23,3.84
44,Apollonia,GR,2022-10-29 21:05:35,36.9716,24.7231,15.77,66,0,9.27
45,Asfi,MA,2022-10-29 21:05:35,32.2994,-9.2372,23.41,44,90,2.02
46,Ngaoundere,CM,2022-10-29 21:05:36,7.3167,13.5833,19.14,64,76,1.7
47,Georgetown,MY,2022-10-29 21:02:30,5.4112,100.3354,26.8,88,20,1.03
48,Hofn,IS,2022-10-29 21:06:37,64.2539,-15.2082,4.14,74,60,4.64
49,Cape Town,ZA,2022-10-29 21:05:02,-33.9258,18.4232,18.4,78,100,4.02
50,Takoradi,GH,2022-10-29 21:06:38,4.8845,-1.7554,26.21,84,54,2.78
51,Porto Novo,BJ,2022-10-29 21:06:39,6.4965,2.6036,25.83,85,51,2.1
52,La Palma,US,2022-10-29 21:06:39,33.8464,-118.0467,30.1,55,0,4.02
53,Inta,RU,2022-10-29 21:06:40,66.0317,60.1659,0.29,88,100,5.51
54,Yangambi,CD,2022-10-29 21:06:41,0.8102,24.4336,21.49,88,100,0.59
55,Ouanaminthe,HT,2022-10-29 21:02:47,19.55,-71.7333,28.04,74,81,3.45
56,Kobryn,BY,2022-10-29 21:06:42,52.2138,24.3564,12.09,76,100,5.89
57,Katete,UG,2022-10-29 21:06:43,-0.7818,29.7544,16.35,98,100,1.35
58,Saint-Augustin,CA,2022-10-29 21:06:43,51.226,-58.6502,8.58,57,100,8.05
59,Saint George,US,2022-10-29 21:04:12,37.1041,-113.5841,21.35,21,0,1.79
60,Ponta Delgada,PT,2022-10-29 21:06:45,37.7333,-25.6667,18.4,63,20,3.6
61,Port Alfred,ZA,2022-10-29 21:06:46,-33.5906,26.891,20.74,88,65,1.58
62,Kedougou,SN,2022-10-29 21:06:47,12.5579,-12.1743,26.06,40,46,1.44
63,Hirtshals,DK,2022-10-29 21:06:48,57.5881,9.9592,12.05,93,73,6.82
64,Sinnamary,GF,2022-10-29 21:06:48,5.3833,-52.95,25.07,92,100,4.05
65,Grand Gaube,MU,2022-10-29 21:06:49,-20.0064,57.6608,21.88,77,12,1.34
66,Khash,IR,2022-10-29 21:06:50,28.2211,61.2158,18.3,27,0,1.81
67,Sorland,NO,2022-10-29 21:06:51,67.667,12.6934,5.92,64,100,8.63
68,Dikson,RU,2022-10-29 21:06:52,73.5069,80.5464,-8.65,94,100,4.1
